item,nombre,sku,nombredepa,marca,nombrecat,dieta,estado,image
5736,GLASEADO EN CREMA DE LIMON,1600045850,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/5736.JPG
6064,GLASEADO RICH CREAMY DARK CHOC,1600045860,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6064.JPG
5737,GLASEADO EN CREMA DE CEREZA,1600045890,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/5737.JPG
248099,BC DELIGHT BROWNIE SALTED ,1600047736,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/248099.JPG
251705,VERY BERRY CHERRIOS,1600047848,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/251705.JPG
264433,N VALLEY OATS & HONEY 98 CT,1600048759,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/264433.JPG
219830,GMILL MG CHEERIOS 12 OZ,1600048769,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/219830.JPG
220054,GENERAL MILL CHEERIOS,1600048772,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/220054.JPG
221268,RICE CHEX GLUTEN FREE,1600048794,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/221268.JPG
219603,CORN CHEX GLUTEN FREE,1600048796,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/219603.JPG
296584,GM CHEX BLUEBERRY,1600049234,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/296584.JPG
6066,GRANOLA ALMOND BAR,1600049290,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6066.JPG
5631,HARINA PARA BROWNIE CON CHOCOL,1600081331,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/5631.JPG
177110,BC PREMIUM BROWNIE WALNUT MIX,1600081341,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/177110.JPG
45774,GM BREAKFAST PACK (GM VARIADO),1600087700,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/45774.JPG
306709,DC GRANULATED SHAKER,1620033065,Despensa,DIXIE CRYSTALS,Azucar Y Endulzantes,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/306709.JPG
46210,D CRYSTAL LIGHT BROWN SUGA1,1620033126,Despensa,DIXIE CRYSTALS,Azucar Y Endulzantes,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/46210.JPG
178364,DIXIE C DARK BROWN SUGAR 2 LB,1620033146,Despensa,DIXIE CRYSTALS,Azucar Y Endulzantes,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/178364.JPG
188446,DIXIE CRYSTAL PURE CANE SUGAR,1620033355,Despensa,DIXIE CRYSTALS,Azucar Y Endulzantes,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/188446.JPG
28803,SALSA RAGU CON CARNE,162226,Despensa,PASTA FRESCAS,Aderezos Y Salsas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/28803.JPG
28810,RAVIOLLI DE CARNE,162228,Despensa,PASTA FRESCAS,Pastas Secas,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/28810.JPG
